0:0:0:0:0:0:0:1 - - [21/May/2025:17:41:59 +0900] "GET /TripFul/image/tripful.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [21/May/2025:17:41:59 +0900] "GET /TripFul/image/jeju.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [21/May/2025:17:41:59 +0900] "GET /TripFul/image/busan.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2025:17:41:59 +0900] "GET /TripFul/image/IMG_0104.JPEG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [21/May/2025:17:42:00 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [21/May/2025:17:44:32 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 4144
0:0:0:0:0:0:0:1 - - [21/May/2025:17:44:32 +0900] "GET /TripFul/mainpage/%7Btour.image%7D HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [21/May/2025:17:44:33 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 4144
0:0:0:0:0:0:0:1 - - [21/May/2025:17:48:12 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 4076
0:0:0:0:0:0:0:1 - - [21/May/2025:17:48:13 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 4076
0:0:0:0:0:0:0:1 - - [21/May/2025:17:48:36 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 4380
0:0:0:0:0:0:0:1 - - [21/May/2025:17:48:36 +0900] "GET /TripFul/image/tripful.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [21/May/2025:17:48:36 +0900] "GET /TripFul/image/IMG_0104.JPEG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [21/May/2025:17:48:37 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 4380
0:0:0:0:0:0:0:1 - - [21/May/2025:17:48:44 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [21/May/2025:17:48:44 +0900] "GET /TripFul/image/tripful.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [21/May/2025:17:48:44 +0900] "GET /TripFul/image/seoul.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2025:17:48:44 +0900] "GET /TripFul/image/busan.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/May/2025:17:48:44 +0900] "GET /TripFul/image/jeju.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [21/May/2025:17:48:44 +0900] "GET /TripFul/image/IMG_0104.JPEG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [21/May/2025:17:48:45 +0900] "GET /TripFul/mainpage/TripFul_main.jsp HTTP/1.1" 200 6371
